id,x,y,cell,capacity
136,15,62,629,24.75338538669405
137,36,1,1073,76.69645748989782
138,79,53,481,40.365816574333486
139,75,33,916,27.603265965732035
140,57,31,806,80.38944257541458
141,3,88,1093,25.664639056921654
142,52,26,594,38.897448652535715
143,93,75,771,67.33387157049708
144,88,92,1025,53.10175520083721
145,85,78,385,1.3510124716360923
146,74,60,385,1.4254906343186948
147,63,85,142,7.904942627079845
148,80,13,1200,40.773383589328255
149,94,58,96,5.266074782099588
150,78,12,1201,88.59401890023392
151,0,92,438,1.6197272414899997
152,48,89,613,61.52612587608025
153,70,77,703,50.442866959235474
154,87,79,780,42.149753484728244
155,43,20,741,20.333836531538548
156,51,49,1052,80.6697099556549
157,90,25,1177,12.013963368512238
158,11,48,725,25.354998972524516
159,53,68,509,70.51570897732556
160,47,42,762,76.2514531788045
161,43,75,385,1.1525647789408364
162,85,76,779,40.850706662827996
163,8,80,1088,25.224481304617758
164,29,91,397,21.247180988305118
165,81,2,1035,14.146639822623598
166,18,77,141,4.240134704392528
167,97,47,905,46.589338690069546
168,81,2,1035,14.146639822623598
169,44,34,741,8.358117605469035
170,28,23,869,62.330404566613964
171,37,38,1076,14.952716807801242
172,62,15,502,107.25299477666478
173,79,36,837,33.7758633180335
174,65,83,439,24.128376178572207
175,22,13,712,46.205298451899765
176,81,0,1038,69.34546733841502
177,77,91,552,30.31747941070063
178,45,81,606,47.513728124364505
179,10,73,141,4.581340923555377
180,72,4,1045,106.91902290461523
181,97,36,432,9.286329094899871
182,55,15,591,83.51352812343474
183,45,49,1053,28.765477286887084
184,42,71,385,1.1696308128809012
185,39,61,369,11.824220787602938
186,64,59,1048,24.66401444056552
187,24,96,385,0.9594854956401038
188,23,79,648,21.4116055651239
189,91,25,1177,12.212513687334404
190,89,49,1078,27.777987390383473
191,42,56,1055,11.062949635410446
192,58,37,880,57.57056693610329
193,43,89,610,52.346160200239474
194,91,89,385,1.3151628482055049
195,99,73,96,5.0639069560184815
196,13,64,629,30.895731862352893
197,58,8,1079,84.10772802202803
198,7,17,571,74.44059835872577
199,44,2,1072,98.56760230166468
200,68,33,915,75.71132168612955
201,36,60,113,23.72281817267193
202,81,56,825,65.53167865368061
203,48,30,1190,57.75810973556007
204,87,81,385,1.3401218368466705
205,86,66,949,29.32142772080484
206,50,40,768,41.175393676754396
207,62,7,1170,48.035767332228474
208,47,37,759,59.32286748845821
209,5,85,1091,34.48060885646471
210,96,13,1035,7.748918553838287
211,82,27,1176,4.858415472160136
212,61,56,1048,28.987651540745638
213,35,95,410,21.49648956720097
214,98,34,432,9.40346992054226
215,51,38,785,52.75338467958634
216,44,59,1055,8.902494194076331
217,79,46,505,28.74140328816391
218,66,47,385,1.4876455292637265
219,68,72,701,42.16910636508135
220,50,92,685,46.18319341765771
221,24,47,438,1.9991042956245293
222,72,97,545,68.50085986536563
223,44,73,1004,23.603849622646134
224,67,11,499,83.37013591672165
225,90,35,1176,3.2507950905782446
226,2,15,575,38.260411142764774
227,15,59,1020,33.92613690276292
228,51,67,1008,66.33755431507976
