id,type,x,y,z,users,total_bw,shared_bw,active
973,FEMTO,98,27,1,0,6800.0,6800.0,true
974,FEMTO,98,27,1,0,6800.0,6800.0,false
975,FEMTO,51,57,1,0,6800.0,6800.0,true
976,FEMTO,51,57,1,0,6800.0,6800.0,false
977,FEMTO,51,57,1,0,6800.0,6800.0,false
978,FEMTO,51,57,1,0,6800.0,6800.0,true
979,FEMTO,51,57,1,0,6800.0,6800.0,true
980,FEMTO,51,57,1,0,6800.0,6800.0,false
981,FEMTO,51,57,1,0,6800.0,6800.0,true
982,FEMTO,51,57,1,0,6800.0,6800.0,false
983,FEMTO,51,57,1,0,6800.0,6800.0,false
984,FEMTO,51,57,1,0,6800.0,6800.0,false
985,FEMTO,51,57,1,0,6800.0,6800.0,true
986,FEMTO,51,57,1,0,6800.0,6800.0,false
987,FEMTO,31,29,1,0,6800.0,6800.0,true
988,FEMTO,31,29,1,0,6800.0,6800.0,false
989,FEMTO,31,29,1,0,6800.0,6800.0,true
990,FEMTO,31,29,1,1,6800.0,6800.0,true
991,FEMTO,31,29,1,1,6800.0,6800.0,true
992,FEMTO,31,29,1,1,6800.0,6800.0,true
993,FEMTO,31,29,1,0,6800.0,6800.0,true
994,FEMTO,31,29,1,0,6800.0,6800.0,true
995,FEMTO,31,29,1,0,6800.0,6800.0,false
996,FEMTO,31,29,1,0,6800.0,6800.0,true
997,FEMTO,31,29,1,0,6800.0,6800.0,false
998,FEMTO,31,29,1,0,6800.0,6800.0,false
999,FEMTO,48,67,1,0,6800.0,6800.0,true
1000,FEMTO,48,67,1,0,6800.0,6800.0,false
1001,FEMTO,48,67,1,0,6800.0,6800.0,true
1002,FEMTO,48,67,1,0,6800.0,6800.0,false
1003,FEMTO,48,67,1,0,6800.0,6800.0,false
1004,FEMTO,48,67,1,1,6800.0,6800.0,true
1005,FEMTO,48,67,1,0,6800.0,6800.0,false
1006,FEMTO,48,67,1,0,6800.0,6800.0,false
1007,FEMTO,48,67,1,0,6800.0,6800.0,false
1008,FEMTO,48,67,1,1,6800.0,6800.0,true
1009,FEMTO,48,67,1,0,6800.0,6800.0,false
1010,FEMTO,48,67,1,0,6800.0,6800.0,false
1011,FEMTO,16,58,1,1,6800.0,6800.0,true
1012,FEMTO,16,58,1,0,6800.0,6800.0,false
1013,FEMTO,16,58,1,0,6800.0,6800.0,false
1014,FEMTO,16,58,1,0,6800.0,6800.0,false
1015,FEMTO,16,58,1,0,6800.0,6800.0,false
1016,FEMTO,16,58,1,0,6800.0,6800.0,false
1017,FEMTO,16,58,1,0,6800.0,6800.0,false
1018,FEMTO,16,58,1,0,6800.0,6800.0,true
1019,FEMTO,16,58,1,0,6800.0,6800.0,true
1020,FEMTO,16,58,1,1,6800.0,6800.0,true
1021,FEMTO,16,58,1,1,6800.0,6800.0,true
1022,FEMTO,16,58,1,0,6800.0,6800.0,false
1023,FEMTO,88,97,1,0,6800.0,6800.0,false
1024,FEMTO,88,97,1,0,6800.0,6800.0,false
1025,FEMTO,88,97,1,1,6800.0,6800.0,true
1026,FEMTO,88,97,1,0,6800.0,6800.0,false
1027,FEMTO,88,97,1,0,6800.0,6800.0,true
1028,FEMTO,88,97,1,1,6800.0,6800.0,true
1029,FEMTO,88,97,1,0,6800.0,6800.0,false
1030,FEMTO,88,97,1,0,6800.0,6800.0,false
1031,FEMTO,88,97,1,0,6800.0,6800.0,true
1032,FEMTO,88,97,1,0,6800.0,6800.0,false
1033,FEMTO,88,97,1,0,6800.0,6800.0,false
1034,FEMTO,88,97,1,0,6800.0,6800.0,true
1035,FEMTO,73,0,1,0,6800.0,6800.0,false
1036,FEMTO,73,0,1,5,6800.0,1360.0,true
1037,FEMTO,73,0,1,0,6800.0,6800.0,false
1038,FEMTO,73,0,1,0,6800.0,6800.0,true
1039,FEMTO,73,0,1,0,6800.0,6800.0,false
1040,FEMTO,73,0,1,0,6800.0,6800.0,false
1041,FEMTO,73,0,1,0,6800.0,6800.0,false
1042,FEMTO,73,0,1,0,6800.0,6800.0,false
1043,FEMTO,73,0,1,0,6800.0,6800.0,false
1044,FEMTO,73,0,1,0,6800.0,6800.0,false
